,supConstruida,terreno,title,valorCLP,valorUF,x,y,valorPesos,evaluation
0,35.0,35.0,Metro Santa Isabel Portugal,300000,10,-33.44764,-70.63528000000001,300000,Yes
1,45.0,47.0,Santo Domingo // Amunategui // Metro Sta Ana,300000,10,-33.43695,-70.6565,300000,Yes
2,30.0,30.0,Ricardo Cumming 1350,299000,10,-33.430240000000005,-70.66942,299000,Yes
3,45.0,45.0,Catedral - Departamento 2596,300000,10,-33.43783,-70.65045,300000,Yes
4,30.0,36.0,Metro Santa Lucía,293511,10,-33.44735,-70.64681999999999,293511,Yes
5,30.0,32.0,Avenida Portugal 415 - Departamento 509,300000,10,-33.447340000000004,-70.6357,300000,Yes
6,21.0,21.0,GENERAL GANA 1063,245000,8,-33.47096,-70.64791,245000,Yes
7,40.0,40.0,Barrio Victoria,295000,10,-33.46467,-70.64684,295000,Yes
8,28.0,31.0,Moneda  1617,29000,1,-33.44277,-70.65929,29000,Yes
9,22.0,22.0,Fray Camilo Henríquez 440,240000,8,-33.447309999999995,-70.63453,240000,Yes
10,22.0,22.0,Eyzaguirre 766,240000,8,-33.45214,-70.64602,240000,Yes
11,23.0,23.0,Avenida Santa Rosa 325 - Departamento 312,240000,8,-33.448570000000004,-70.64522,240000,Yes
12,32.0,35.0,Presidente Balmaceda 2170,270000,9,-33.429829999999995,-70.6675,270000,Yes
13,35.0,38.0,sargento aldea  1156 - Departamento 1408,270000,9,-33.468779999999995,-70.64907,270000,Yes
14,26.0,26.0,"Metro Sta. Ana y Cal y Canto, Barrio Dieciocho",280000,10,-33.43323,-70.65973000000001,280000,Yes
15,30.0,30.0,MARIO KREUTZBERGER 1520,265000,9,-33.43608,-70.65893,265000,Yes
16,37.0,37.0,Metro Los Heroes,280000,10,-33.4477,-70.66054,280000,Yes
17,30.0,30.0,General Gana 1063,280000,10,-33.47096,-70.64791,280000,Yes
18,32.0,32.0,Metro Moneda,280000,10,-33.44693,-70.65502,280000,Yes
19,30.0,30.0,SAN ISIDRO 234 513,280000,10,-33.469120000000004,-70.642,280000,Yes
20,36.0,36.0,Amunátegui 630 - Departamento 1609,280000,10,-33.4364,-70.65742,280000,Yes
21,30.0,30.0,San Diego  895,280000,10,-33.45674,-70.64979,280000,Yes
22,36.0,36.0,Amunátegui 620 - Departamento 2306,280000,10,-33.4364,-70.65742,280000,Yes
23,38.0,38.0,San Diego  895,280000,10,-33.45674,-70.64979,280000,Yes
24,30.0,30.0,San Diego 895 - Departamento piso11,280000,10,-33.45674,-70.64979,280000,Yes
25,30.0,30.0,EYZAGUIRRE 766,280000,10,-33.45214,-70.64602,280000,Yes
26,30.0,32.0,metro Bellas Arte,280000,10,-33.43768,-70.64715,280000,Yes
27,38.0,38.0,Porvenir  1017,280000,10,-33.457609999999995,-70.64805,280000,Yes
28,30.0,34.0,Portugal 968,280000,10,-33.469120000000004,-70.642,280000,Yes
29,26.0,26.0,METRO SANTA LUCIA SAN ISIDRO  234 - Departamento 21,280000,10,-33.44254,-70.64515,280000,Yes
30,32.0,37.0,ALMIRANTE LATORRE / METRO TOESCA,281211,10,-33.45378,-70.66417,281211,Yes
31,30.0,32.0,Enrique Mac Iver 524,280000,10,-33.43662,-70.64735,280000,Yes
32,26.0,26.0,METRO SANTA LUCIA SAN ISIDRO  234 - Departamento 25,280000,10,-33.44643,-70.64356,280000,Yes
33,38.0,38.0,General Mackenna  1490,280000,10,-33.43339,-70.65845999999999,280000,Yes
34,31.0,31.0,Fray Camilo Henríquez,280000,10,-33.4475,-70.6346,280000,Yes
35,35.0,35.0,San Pablo  / San Martin,280000,10,-33.4342,-70.6589,280000,Yes
36,38.0,38.0,Tarapacá / Nataniel Cox,280000,10,-33.448029999999996,-70.65386,280000,Yes
37,35.0,35.0,Blanco encalada 1797,280000,10,-33.45643,-70.65945,280000,Yes
38,30.0,62.0,METRO PARQUE ALMAGRO,280000,10,-33.44897,-70.64875,280000,Yes
39,35.0,37.0,Compañía de Jesús 1429 - Departamento 111,280000,10,-33.43878,-70.65736,280000,Yes
40,29.0,31.0,SANTA ELENA 1760 METRO ÑUBLE,280000,10,-33.4675,-70.6247,280000,Yes
41,33.0,35.0,moneda 1541,280000,10,-33.44255,-70.65828,280000,Yes
42,32.0,32.0,San Diego 895,280000,10,-33.45674,-70.64979,280000,Yes
